,Slot_id,Key,Date_Sin,Slot_Timeint,Covid,Time_Int,Ilegality_Rate,Holidays,Capacity,Week_Day_Sin,Month_Sin
0,10,2020-01-02 09:00,0.72479278722912,0.3958333333333333,0,0.4041666666666667,1.0,1,6.0,-0.433883739117558,0.4999999999999999
1,10,2020-01-02 14:00,0.72479278722912,0.6041666666666666,0,0.61875,1.0,1,6.0,-0.433883739117558,0.4999999999999999
2,10,2018-01-03 15:00,0.5712682150947923,0.6458333333333334,0,0.6466782407407408,0.7777777777777778,0,6.0,0.4338837391175582,0.4999999999999999
3,10,2020-01-03 09:00,0.8486442574947509,0.3958333333333333,0,0.4069444444444444,1.0,0,6.0,-0.9749279121818236,0.4999999999999999
4,10,2020-01-07 09:00,0.3943558551133185,0.3958333333333333,0,0.4041666666666667,1.0,0,6.0,0.9749279121818236,0.4999999999999999
5,10,2019-01-08 14:00,0.3943558551133185,0.6041666666666666,0,0.6095138888888889,0.1428571428571428,0,6.0,0.9749279121818236,0.4999999999999999
6,10,2019-01-08 16:00,0.3943558551133185,0.6875,0,0.6759259259259259,0.0,0,6.0,0.9749279121818236,0.4999999999999999
7,10,2018-01-10 09:00,0.5712682150947923,0.3958333333333333,0,0.3888425925925926,0.8125,0,6.0,0.4338837391175582,0.4999999999999999
8,10,2018-01-10 12:00,0.5712682150947923,0.5208333333333334,0,0.5083333333333333,0.8181818181818182,0,6.0,0.4338837391175582,0.4999999999999999
9,10,2018-01-11 09:00,0.72479278722912,0.3958333333333333,0,0.3956018518518518,0.5,0,6.0,-0.433883739117558,0.4999999999999999
10,10,2019-01-11 12:00,0.8486442574947509,0.5208333333333334,0,0.5288194444444444,0.0,0,6.0,-0.9749279121818236,0.4999999999999999
11,10,2019-01-11 16:00,0.8486442574947509,0.6875,0,0.6745833333333333,0.0,0,6.0,-0.9749279121818236,0.4999999999999999
12,10,2018-01-12 10:00,0.8486442574947509,0.4375,0,0.4465277777777778,0.6666666666666666,0,6.0,-0.9749279121818236,0.4999999999999999
13,10,2019-01-14 16:00,0.20129852008866,0.6875,0,0.6791666666666667,0.3333333333333333,0,6.0,0.7818314824680298,0.4999999999999999
14,10,2020-01-14 09:00,0.3943558551133185,0.3958333333333333,0,0.4027777777777778,0.5714285714285714,0,6.0,0.9749279121818236,0.4999999999999999
15,10,2020-01-14 12:00,0.3943558551133185,0.5208333333333334,0,0.5296296296296297,0.8333333333333334,0,6.0,0.9749279121818236,0.4999999999999999
16,10,2018-01-16 17:00,0.3943558551133185,0.7291666666666666,0,0.7934837962962963,0.25,0,6.0,0.9749279121818236,0.4999999999999999
17,10,2018-01-17 09:00,0.5712682150947923,0.3958333333333333,0,0.4018518518518518,0.3333333333333333,0,6.0,0.4338837391175582,0.4999999999999999
18,10,2019-01-17 14:00,0.72479278722912,0.6041666666666666,0,0.5931712962962963,0.1666666666666666,0,6.0,-0.433883739117558,0.4999999999999999
19,10,2018-01-18 09:00,0.72479278722912,0.3958333333333333,0,0.385011574074074,0.4285714285714285,0,6.0,-0.433883739117558,0.4999999999999999
20,10,2018-01-18 15:00,0.72479278722912,0.6458333333333334,0,0.6571180555555556,0.5,0,6.0,-0.433883739117558,0.4999999999999999
21,10,2019-01-18 12:00,0.8486442574947509,0.5208333333333334,0,0.5180555555555556,0.25,0,6.0,-0.9749279121818236,0.4999999999999999
22,10,2019-01-18 16:00,0.8486442574947509,0.6875,0,0.6819444444444445,0.0,0,6.0,-0.9749279121818236,0.4999999999999999
23,10,2018-01-19 09:00,0.8486442574947509,0.3958333333333333,0,0.3938657407407407,0.3333333333333333,0,6.0,-0.9749279121818236,0.4999999999999999
24,10,2018-01-19 15:00,0.8486442574947509,0.6458333333333334,0,0.6590277777777778,0.5,0,6.0,-0.9749279121818236,0.4999999999999999
25,10,2019-01-21 13:00,0.20129852008866,0.5625,0,0.5678819444444444,1.0,0,6.0,0.7818314824680298,0.4999999999999999
26,10,2020-01-21 09:00,0.3943558551133185,0.3958333333333333,0,0.40625,1.0,0,6.0,0.9749279121818236,0.4999999999999999
27,10,2018-01-22 15:00,0.20129852008866,0.6458333333333334,0,0.6609722222222222,0.4,0,6.0,0.7818314824680298,0.4999999999999999
28,10,2020-01-22 09:00,0.5712682150947923,0.3958333333333333,0,0.4019097222222222,1.0,0,6.0,0.4338837391175582,0.4999999999999999
29,10,2019-01-23 16:00,0.5712682150947923,0.6875,0,0.6776388888888889,0.0,0,6.0,0.4338837391175582,0.4999999999999999
30,10,2018-01-24 10:00,0.5712682150947923,0.4375,0,0.4223148148148148,0.5714285714285714,0,6.0,0.4338837391175582,0.4999999999999999
31,10,2018-01-24 16:00,0.5712682150947923,0.6875,0,0.6934722222222223,0.6,0,6.0,0.4338837391175582,0.4999999999999999
32,10,2019-01-24 15:00,0.72479278722912,0.6458333333333334,0,0.6530555555555555,0.2,0,6.0,-0.433883739117558,0.4999999999999999
33,10,2020-01-24 09:00,0.8486442574947509,0.3958333333333333,0,0.4138888888888888,1.0,0,6.0,-0.9749279121818236,0.4999999999999999
34,10,2020-01-24 13:00,0.8486442574947509,0.5625,0,0.5645833333333333,1.0,0,6.0,-0.9749279121818236,0.4999999999999999
35,10,2019-01-25 11:00,0.8486442574947509,0.4791666666666667,0,0.487037037037037,0.3333333333333333,0,6.0,-0.9749279121818236,0.4999999999999999
36,10,2020-01-27 09:00,0.20129852008866,0.3958333333333333,0,0.4020833333333333,1.0,0,6.0,0.7818314824680298,0.4999999999999999
