,Sector_1,Sector_2,Duration
0,5,6,0.6364038972542072
1,5,151,0.5917626217891939
2,5,155,0.5496014171833481
3,5,156,0.6913197519929141
4,5,157,0.8241806908768822
5,5,159,0.5379096545615589
6,5,160,0.8574844995571302
7,5,161,0.704074402125775
8,5,162,0.7352524357838794
9,5,165,0.7954827280779451
10,5,166,0.7848538529672276
11,5,2,0.5102745792736935
12,5,3,0.6137289636846767
13,5,4,0.5446412754650132
14,52,59,0.7568644818423383
15,52,75,0.5570416297608503
16,52,76,0.4418954827280779
17,52,77,0.699822852081488
18,52,78,0.7643046944198405
19,52,95,0.47165633303808674
20,52,97,0.4929140832595217
21,52,98,0.6105403011514614
22,52,99,0.5173604960141718
23,52,100,0.48157661647475636
24,52,101,0.5938883968113374
25,52,102,0.6144375553587245
26,52,203,0.5131089459698848
27,52,206,0.633215234720992
28,52,110,0.5960141718334809
29,52,209,0.7086802480070858
30,52,210,0.6395925597874225
31,52,111,0.7285208148804252
32,52,213,0.6817537643932683
33,52,216,0.5744021257750221
34,52,217,0.6254207263064658
35,52,136,0.7848538529672276
36,52,137,0.5754650132860939
37,52,50,0.4755535872453498
38,52,51,0.4720106288751107
39,53,54,0.8674047829937999
40,53,55,0.7926483613817537
41,53,59,0.6658104517271922
42,53,60,0.80859167404783
43,53,64,0.7271036315323295
44,53,65,0.7880425155004429
45,53,66,0.6123117803365811
46,53,67,0.6608503100088574
47,53,71,0.5099202834366696
48,53,72,0.5726306465899025
49,53,77,0.7072630646589902
50,53,78,0.5761736049601417
51,53,79,0.8068201948627103
52,53,81,0.7522586359610274
53,53,82,0.7611160318866252
54,53,187,0.7604074402125776
55,53,101,0.6013286093888397
56,53,190,0.7940655447298495
57,53,102,0.6218777679362267
58,53,105,0.7235606731620903
59,53,106,0.8698848538529672
60,53,107,0.7419840566873339
61,53,108,0.6077059344552701
62,53,202,0.7370239149689991
63,53,109,0.5953055801594331
64,53,203,0.6750221434898139
65,53,204,0.703720106288751
66,53,110,0.7579273693534101
67,53,207,0.683525243578388
68,53,209,0.6689991142604075
69,53,111,0.6686448184233835
70,53,213,0.6891939769707706
71,53,112,0.6594331266607617
72,53,113,0.5885739592559788
73,53,114,0.5173604960141718
74,53,217,0.6328609388839681
75,53,115,0.7504871567759078
76,53,116,0.762533215234721
77,53,119,0.7193091231178033
78,53,120,0.7278122232063773
79,53,136,0.5967227635075287
80,53,137,0.737378210806023
81,54,55,0.8443755535872454
82,54,56,0.7565101860053144
83,54,59,0.6144375553587245
84,54,60,0.7806023029229406
85,54,64,0.778830823737821
86,54,65,0.7366696191319752
87,54,66,0.6640389725420726
88,54,67,0.712577502214349
89,54,72,0.5212577502214348
90,54,73,0.5549158547387067
91,54,77,0.6558901682905226
92,54,78,0.5428697962798936
93,54,79,0.8369353410097431
94,54,81,0.8039858281665191
95,54,82,0.8128432240921168
96,54,83,0.6895482728077944
97,54,187,0.7093888396811336
98,54,190,0.7430469441984057
99,54,105,0.6721877767936226
100,54,106,0.7558015943312666
101,54,199,0.6505757307351638
102,54,107,0.7937112488928255
103,54,200,0.6268379096545615
104,54,202,0.7887511071744907
105,54,109,0.5439326837909654
106,54,204,0.7550930026572188
107,54,110,0.7069087688219663
108,54,207,0.7348981399468556
109,54,111,0.6172719220549158
110,54,213,0.7405668733392382
111,54,112,0.7111603188662533
112,54,113,0.6399468556244464
113,54,114,0.5099202834366696
114,54,115,0.7224977856510185
