,ΚΩΔΙΚΟΣ ΤΟΜΕΑ,ΟΔΟΣ,ΜΕΣΟ,ΑΠΟ,ΕΩΣ,ΑΡΙΘΜΟΣ ΘΕΣΕΩΝ,ΔΙΕΥΘΥΝΣΗ,Latitude,Longitude
46,91,ΔΙΑΛΕΤΤΗ,21,15,25,27,"ΔΙΑΛΕΤΤΗ 21, ΘΕΣΣΑΛΟΝΙΚΗ",40.62866382535378,22.952314089710164
47,93,ΣΤΡ. ΔΑΓΚΛΗ,11,5,15,15,"ΣΤΡ. ΔΑΓΚΛΗ 11, ΘΕΣΣΑΛΟΝΙΚΗ",40.6281501158544,22.95130710926889
48,94,ΣΤΡ. ΔΑΓΚΛΗ,21,17,29,20,"ΣΤΡ. ΔΑΓΚΛΗ 21, ΘΕΣΣΑΛΟΝΙΚΗ",40.62888407726161,22.95200838869052
49,95,ΟΛΥΜΠΟΥ,58,54,62,20,"ΟΛΥΜΠΟΥ 58,ΘΕΣΣΑΛΟΝΙΚΗ",40.63959613780079,22.943489311392188
50,96,ΟΛΥΜΠΟΥ,72,66,76,24,"ΟΛΥΜΠΟΥ 72,ΘΕΣΣΑΛΟΝΙΚΗ",40.63906238840705,22.94454707089964
51,98,ΟΛΥΜΠΟΥ,80,78,82,10,"ΟΛΥΜΠΟΥ 80,ΘΕΣΣΑΛΟΝΙΚΗ",40.63867603357604,22.94530017458612
52,100,ΟΛΥΜΠΟΥ,77,73,81,59,"ΟΛΥΜΠΟΥ 77,ΘΕΣΣΑΛΟΝΙΚΗ",40.638292494708416,22.94614564052859
53,103,ΟΛΥΜΠΟΥ,100,100,100,10,"ΟΛΥΜΠΟΥ 100,ΘΕΣΣΑΛΟΝΙΚΗ",40.63693306375994,22.94853289975306
54,104,ΟΛΥΜΠΟΥ,108,102,110,10,"ΟΛΥΜΠΟΥ 108,ΘΕΣΣΑΛΟΝΙΚΗ",40.636497228860506,22.949441729795147
55,105,ΟΛΥΜΠΟΥ,107,101,111,28,"ΟΛΥΜΠΟΥ 107,ΘΕΣΣΑΛΟΝΙΚΗ",40.6360412311167,22.95037873897356
56,106,ΟΛΥΜΠΟΥ,119,113,123,33,"ΟΛΥΜΠΟΥ 119,ΘΕΣΣΑΛΟΝΙΚΗ",40.63552496958299,22.95137415687854
57,109,ΟΛΥΜΠΟΥ,134,128,138,36,"ΟΛΥΜΠΟΥ 134,ΘΕΣΣΑΛΟΝΙΚΗ",40.63490225140329,22.95243285074402
58,112,ΜΠΑΛΤΑΔΩΡΟΥ,7,1,11,13,"ΜΠΑΛΤΑΔΩΡΟΥ 7, ΘΕΣΣΑΛΟΝΙΚΗ",40.63916883304847,22.9431630641388
59,113,ΜΗΤΣΑΙΩΝ,3,1,5,7,"ΜΗΤΣΑΙΩΝ,3 ΘΕΣΣΑΛΟΝΙΚΗ",40.637058033725545,22.9469739608478
60,114,ΑΛ. ΔΕΛΜΟΥΖΟΥ,3,1,5,14,"ΑΛ. ΔΕΛΜΟΥΖΟΥ 3, ΘΕΣΣΑΛΟΝΙΚΗ",40.63579092698542,22.948928121310303
61,116,ΑΡΜΕΝΟΠΟΥΛΟΥ,11,5,17,47,"ΑΡΜΕΝΟΠΟΥΛΟΥ 11, ΘΕΣΣΑΛΟΝΙΚΗ",40.63450250979288,22.952178018540696
62,118,ΑΡΜΕΝΟΠΟΥΛΟΥ,27,21,31,24,"ΑΡΜΕΝΟΠΟΥΛΟΥ 27, ΘΕΣΣΑΛΟΝΙΚΗ",40.63363477998711,22.953849300944725
63,120,ΑΡΜΕΝΟΠΟΥΛΟΥ,0,0,0,17,"ΑΡΜΕΝΟΠΟΥΛΟΥ 0, ΘΕΣΣΑΛΟΝΙΚΗ",40.63308615144097,22.95480863837724
64,121,ΦΛΩΡΙΝΗΣ,6,6,6,4,"ΦΛΩΡΙΝΗΣ 6, ΘΕΣΣΑΛΟΝΙΚΗ",40.63635909564884,22.950783038377477
65,123,ΦΙΛΙΠΠΟΥ,55,53,55,26,"ΦΙΛΙΠΠΟΥ 55, ΘΕΣΣΑΛΟΝΙΚΗ",40.63600190389393,22.947875242657314
66,125,ΦΙΛΙΠΠΟΥ,55,57,69,36,"ΦΙΛΙΠΠΟΥ 55, ΘΕΣΣΑΛΟΝΙΚΗ",40.63548775357933,22.948835201042016
67,127,ΦΙΛΙΠΠΟΥ,75,71,77,29,"ΦΙΛΙΠΠΟΥ 75, ΘΕΣΣΑΛΟΝΙΚΗ",40.63498480292124,22.94974980646716
68,129,ΦΙΛΙΠΠΟΥ,87,79,93,41,"ΦΙΛΙΠΠΟΥ 87, ΘΕΣΣΑΛΟΝΙΚΗ",40.63435609283764,22.95086137160768
69,131,ΦΙΛΙΠΠΟΥ,99,95,105,40,"ΦΙΛΙΠΠΟΥ 99, ΘΕΣΣΑΛΟΝΙΚΗ",40.63380688263996,22.951933507831228
70,133,ΙΟΥΣΤΙΝΙΑΝΟΥ,7,3,11,18,"ΙΟΥΣΤΙΝΙΑΝΟΥ 7, ΘΕΣΣΑΛΟΝΙΚΗ",40.637994743531976,22.942395473888656
71,136,ΙΟΥΣΤΙΝΙΑΝΟΥ,26,22,30,28,"ΙΟΥΣΤΙΝΙΑΝΟΥ 26, ΘΕΣΣΑΛΟΝΙΚΗ",40.63570751595466,22.946506769661017
72,139,ΠΑΤΡΙΑΡΧΟΥ ΔΙΟΝΥΣΙΟΥ,3,1,3,15,"ΠΑΤΡΙΑΡΧΟΥ ΔΙΟΝΥΣΙΟΥ 3,ΘΕΣΣΑΛΟΝΙΚΗ",40.63545344891537,22.947644307691085
73,141,ΣΤΡ. ΜΑΚΡΥΓΙΑΝΝΗ,6,2,8,23,"ΣΤΡ. ΜΑΚΡΥΓΙΑΝΝΗ 6, ΘΕΣΣΑΛΟΝΙΚΗ",40.63449465347137,22.948687533755468
74,144,ΣΤΡ. ΜΑΚΡΥΓΙΑΝΝΗ,18,10,24,47,"ΣΤΡ. ΜΑΚΡΥΓΙΑΝΝΗ 18, ΘΕΣΣΑΛΟΝΙΚΗ",40.63398299902506,22.94963204768201
