,Slot_id,Γενικό Νοσοκομείο Θεσσαλονίκης «Γ. Γεννηματάς»,Λιμάνι,Δημαρχείο Θεσσαλονίκης,Λευκός Πύργος,Αγορά Καπάνι,Λαδάδικα,Πλατεία Άθωνος,Πλατεία Αριστοτέλους,Ροτόντα,Πλατεία Αγίας Σοφίας,Πλατεία Αντιγονιδών,Μουσείο Μακεδονικού Αγώνα,Πλατεία Ναυαρίνου,Πάρκο ΧΑΝΘ,Ιερός Ναός Αγίου Δημητρίου,ΔΕΘ,ΑΠΘ,Άγαλμα Ελευθερίου Βενιζέλου,Ρωμαϊκή Αγορά Θεσσαλονίκης
204,20593,531,1347,1534,1196,679,1241,587,976,460,557,942,910,722,1343,442,1124,737,579,416
205,20603,1533,524,2052,1506,435,278,604,614,1348,779,401,872,1183,1809,732,1849,1622,496,703
206,20672,1045,875,1774,1293,209,715,297,640,889,455,442,749,864,1544,259,1475,1178,41,201
207,20703,594,1308,1577,1222,634,1194,554,951,515,543,879,903,746,1381,378,1176,796,526,354
208,20744,1266,759,1936,1425,260,556,428,647,1104,610,272,830,1031,1700,415,1668,1390,214,387
209,20783,901,972,1677,1221,286,836,283,678,750,392,572,730,771,1453,225,1355,1041,162,147
210,20843,1061,913,1819,1342,259,743,350,692,913,505,410,803,909,1590,219,1511,1204,94,173
211,20923,1664,575,2189,1640,571,319,743,739,1483,919,416,1004,1324,1946,826,1990,1760,617,806
212,20974,1248,840,1966,1467,309,633,462,717,1097,639,237,885,1057,1733,354,1681,1386,216,339
213,21023,733,1233,1679,1291,548,1098,505,910,641,541,742,905,816,1474,238,1296,928,417,219
214,21183,1190,883,1935,1445,304,685,440,729,1044,611,280,878,1024,1703,291,1638,1334,181,275
215,21312,1503,742,2146,1620,469,496,646,772,1342,830,186,1000,1250,1907,608,1898,1628,452,600
216,21351,1039,1110,1917,1475,460,926,523,890,931,648,446,978,1018,1698,67,1569,1222,293,121
217,21453,879,1171,1793,1377,489,1012,495,893,779,579,601,933,909,1581,93,1427,1068,334,97
218,21502,1237,941,2014,1529,390,730,526,811,1102,693,223,965,1104,1784,296,1708,1394,263,303
219,21591,1185,1086,2043,1583,495,879,599,927,1075,747,316,1052,1137,1819,213,1707,1366,339,257
220,21612,1482,825,2172,1654,492,580,664,830,1331,848,100,1045,1269,1934,559,1906,1620,445,561
221,28151,66,1703,1247,1098,1104,1651,962,1274,274,844,1442,1101,723,1117,946,768,341,1046,917
